ProjectId,ComplexityScore,TotalBlocks,UniqueTargets,ControlBlocks,CustomBlocks
99616781,194.5,365,6,0,0
96939253,194.5,361,7,0,0
99191808,194.5,357,8,0,0
98733675,194.5,317,18,0,0
98647922,194.5,353,9,0,0
98647326,194.5,325,16,0,0
94096746,194.5,353,9,0,0
99787530,194.5,329,15,0,0
98443995,194.5,89,75,0,0
99356011,194.5,313,19,0,0
99564083,194.5,333,14,0,0
98281198,194.5,325,16,0,0
96729879,194.5,357,8,0,0
99941999,194.5,353,9,0,0
98855216,194.5,237,38,0,0
98755479,194.5,353,9,0,0
99436436,194.5,337,13,0,0
99940347,194.5,361,7,0,0
71440116,194.5,349,10,0,0
99547600,194.5,329,15,0,0
99547357,194.5,353,9,0,0
93179222,194.5,357,8,0,0
92917005,194.5,285,26,0,0
98777237,194.5,337,13,0,0
99063242,194.0,356,8,0,0
99536915,194.0,336,13,0,0
99468567,194.0,344,11,0,0
98838280,194.0,268,30,0,0
99508570,194.0,352,9,0,0
99317846,194.0,356,8,0,0
98831068,194.0,368,5,0,0
98413981,194.0,344,11,0,0
99269185,194.0,336,13,0,0
94756498,194.0,348,10,0,0
97327867,194.0,308,20,0,0
98675498,194.0,304,21,0,0
99091064,194.0,336,13,0,0
99499671,194.0,324,16,0,0
98898579,194.0,276,28,0,0
98559181,194.0,352,9,0,0
99792466,194.0,292,24,0,0
99139165,194.0,284,26,0,0
99020910,194.0,340,12,0,0
98634528,194.0,356,8,0,0
99508184,194.0,332,14,0,0
99513038,194.0,340,12,0,0
99376557,194.0,356,8,0,0
99137309,194.0,352,9,0,0
97738296,194.0,324,16,0,0
99565906,194.0,260,32,0,0
98436494,194.0,348,10,0,0
98667241,194.0,344,11,0,0
96776962,194.0,344,11,0,0
98704440,194.0,328,15,0,0
98841895,194.0,356,8,0,0
98909291,194.0,332,14,0,0
99604275,194.0,360,7,0,0
99709070,194.0,324,16,0,0
99490186,194.0,352,9,0,0
99560557,194.0,328,15,0,0
98299277,194.0,344,11,0,0
99603512,194.0,344,11,0,0
97983339,194.0,340,12,0,0
98280055,193.5,311,19,0,0
99054328,193.5,367,5,0,0
98571034,193.5,307,20,0,0
99305795,193.5,291,24,0,0
98566645,193.5,323,16,0,0
99320391,193.5,275,28,0,0
99465105,193.5,287,25,0,0
99067115,193.5,367,5,0,0
99057588,193.5,363,6,0,0
99531987,193.5,335,13,0,0
99485300,193.5,339,12,0,0
99599338,193.5,323,16,0,0
99335879,193.5,243,36,0,0
99399064,193.5,351,9,0,0
99557671,193.5,379,2,0,0
99458507,193.5,327,15,0,0
98073002,193.5,319,17,0,0
95545182,193.5,327,15,0,0
95438119,193.5,351,9,0,0
99464158,193.5,311,19,0,0
99003967,193.5,259,32,0,0
99570465,193.5,331,14,0,0
98578542,193.5,295,23,0,0
99329582,193.5,303,21,0,0
97721021,193.5,335,13,0,0
99606460,193.5,287,25,0,0
90287889,193.5,283,26,0,0
99556082,193.5,311,19,0,0
98597713,193.5,259,32,0,0
89924440,193.5,331,14,0,0
99856838,193.5,347,10,0,0
99655634,193.5,339,12,0,0
93677818,193.5,307,20,0,0
98853153,193.5,355,8,0,0
98517914,193.5,343,11,0,0
93254231,193.5,323,16,0,0
99793554,193.5,331,14,0,0
98636105,193.5,291,24,0,0
96426703,193.5,327,15,0,0
98622904,193.5,347,10,0,0
98249305,193.5,327,15,0,0
98693386,193.0,342,11,0,0
99159183,193.0,326,15,0,0
98925123,193.0,342,11,0,0
99643705,193.0,346,10,0,0
98556814,193.0,362,6,0,0
99540360,193.0,306,20,0,0
98403764,193.0,350,9,0,0
93507258,193.0,338,12,0,0
98185504,193.0,362,6,0,0
99860898,193.0,322,16,0,0
98137523,193.0,322,16,0,0
98997993,193.0,370,4,0,0
49667454,193.0,294,23,0,0
98562486,193.0,326,15,0,0
98095080,193.0,202,46,0,0
99246153,193.0,338,12,0,0
99546618,193.0,330,14,0,0
98755334,193.0,342,11,0,0
98610018,193.0,342,11,0,0
98926836,193.0,318,17,0,0
98905927,193.0,358,7,0,0
99563646,193.0,290,24,0,0
99150207,193.0,322,16,0,0
99654051,193.0,350,9,0,0
99436056,193.0,282,26,0,0
99872047,192.5,345,10,0,0
98585433,192.5,333,13,0,0
98643614,192.5,337,12,0,0
98500079,192.5,333,13,0,0
98110687,192.5,313,18,0,0
99168627,192.5,349,9,0,0
99673972,192.5,245,35,0,0
99188723,192.5,317,17,0,0
98913265,192.5,341,11,0,0
98562099,192.5,345,10,0,0
96723864,192.5,349,9,0,0
99632917,192.5,349,9,0,0
99942756,192.5,229,39,0,0
98855310,192.5,369,4,0,0
94011248,192.5,301,21,0,0
98607575,192.5,301,21,0,0
99122108,192.5,309,19,0,0
97318408,192.5,341,11,0,0
99601583,192.5,313,18,0,0
99392593,192.5,301,21,0,0
97869042,192.5,333,13,0,0
99790071,192.5,357,7,0,0
98836788,192.5,357,7,0,0
98624836,192.5,313,18,0,0
91049731,192.5,373,3,0,0
99812547,192.5,289,24,0,0
98786787,192.5,341,11,0,0
98862198,192.5,349,9,0,0
98253794,192.5,309,19,0,0
98266030,192.5,349,9,0,0
58151856,192.0,332,13,0,0
97141592,192.0,352,8,0,0
98800538,192.0,328,14,0,0
98786767,192.0,316,17,0,0
98317550,192.0,312,18,0,0
98514745,192.0,332,13,0,0
99232107,192.0,332,13,0,0
98710555,192.0,348,9,0,0
98506609,192.0,300,21,0,0
89717818,192.0,324,15,0,0
67397306,192.0,332,13,0,0
99905666,192.0,316,17,0,0
95763779,192.0,340,11,0,0
98431527,192.0,320,16,0,0
99634965,192.0,320,16,0,0
22890514,192.0,280,26,0,0
98867860,192.0,276,27,0,0
99160186,192.0,360,6,0,0
99664778,192.0,324,15,0,0
